age,Computer,TV,Cellphone,Software,Frequency3,Monetary3,Monetary60
14,5,1,1,0,7,1657024.47692162,6765909.86894211
19,2,0,2,3,7,1638598.14973253,5524472.48954634
25,2,0,0,0,2,1825425.03426068,2386883.45591351
17,4,3,0,7,14,2704007.76452198,4578547.45978444
15,6,3,1,1,11,1609951.30888251,9938525.1244806
24,0,2,2,7,11,2079634.15491429,6061752.95612429
17,5,3,1,3,12,1986143.65453857,5618425.34407341
18,1,0,1,5,7,1335596.6567016002,6239730.70849821
28,5,0,0,0,5,1396572.43522676,3728905.17156389
26,5,1,2,6,14,2288784.88919832,6815163.42397951
14,4,0,2,7,13,1604198.27733826,3965307.15095207
27,0,2,1,4,7,1487295.68156011,7402054.3020481
35,6,2,1,3,12,2180179.72916666,2525415.82936203
28,0,3,1,6,10,2450185.8542602,7657267.5231248
37,6,3,0,3,12,1744250.54400026,5501826.38294947
11,1,0,2,1,4,846309.5999811459,3979548.33983143
28,6,2,1,5,14,2498706.42390048,6003818.97741714
19,5,3,1,5,14,2548546.41000198,4258543.01666253
30,6,2,1,2,11,2455772.37008551,1470165.51857133
23,2,1,2,5,10,2022998.11866334,6247302.08333383
25,4,1,0,0,5,1646588.04319645,4454521.35276127
29,3,1,2,3,9,1651042.99304001,4479581.43587294
26,3,2,0,4,9,1584001.41414017,6224808.49677092
12,1,2,2,4,9,1834300.08670605,5004042.22733034
40,3,0,2,6,11,1887577.24895711,6457105.84729081
15,1,0,1,2,4,1340899.11765127,4957763.57461472
21,6,3,2,1,12,2229165.47600449,6496311.10129988
20,4,1,2,4,11,2024939.65022295,6690825.77509096
29,6,3,0,2,11,1976207.78670125,7528132.76228261
31,5,1,0,4,10,1995151.33989342,6190293.84851052
34,2,3,0,5,10,1919709.72537081,6192725.29925211
15,1,1,2,1,5,1742203.26187739,2219716.6648613997
19,4,1,1,6,12,1874805.72709315,5700459.7294897
29,5,1,2,2,10,2394908.79055314,8490526.52132917
35,4,0,2,5,11,2217782.04818697,5423971.51349832
35,4,2,1,0,7,1862163.52015073,3383979.22081988
36,3,3,2,1,9,2065549.20499726,3989046.96278713
37,0,2,2,1,5,1653180.18858743,5686488.64675292
23,1,3,1,4,9,1880088.94841058,6782575.35272185
13,6,0,2,5,13,2845769.92003374,3453565.26019713
39,0,2,1,2,5,1360936.87124879,5464346.5655585
38,4,1,1,5,11,2477367.06750273,7286609.34554054
25,4,2,1,6,13,2211766.49107607,10065162.474133098
27,0,0,1,5,6,1711088.41792472,3773845.90201194
17,6,1,1,5,13,2096421.43080936,5460458.03341248
20,1,2,0,5,8,1190225.46437517,4560385.08326214
29,1,1,0,2,4,1447421.60929938,4568172.3891388
31,6,3,2,1,12,2240339.58455405,5424969.08696744
14,0,3,1,3,7,1732793.78949279,5321911.03700346
34,2,2,1,1,6,1927532.9939869,5726453.27515374
21,1,3,0,2,6,1795065.80945107,1979921.23835471
26,5,0,2,2,9,2702157.60215994,4449576.28168931
38,4,1,2,6,13,2085630.76493538,5554543.63341086
33,2,0,0,6,8,1664393.66595124,5729934.40809378
39,2,0,0,1,3,1072808.30124763,4809838.78485058
19,1,1,0,5,7,1733100.19085548,2946636.34252047
38,4,2,2,2,10,1592442.88452461,5875094.20648227
11,0,2,2,0,4,1971528.46976912,2652383.42886602
23,3,2,2,2,9,2216299.94776315,6733054.07662846
19,3,0,1,5,9,1656604.22831726,3688638.9739584
35,4,2,0,3,9,1887622.28606558,4668010.45622437
18,6,2,2,6,16,2444227.32613556,4826713.99582703
22,1,2,0,2,5,1490159.35710853,5547004.10442606
30,0,2,2,1,5,1269407.32260069,4775576.22190959
14,3,2,2,0,7,1665717.16412532,6798676.37952278
15,2,1,0,3,6,1995699.1504546,5346575.90565354
19,5,0,0,0,5,1719215.34210106,3871778.09287118
40,5,1,2,1,9,1727720.61971056,5709322.37832848
15,1,1,1,0,3,1129106.55162398,4597354.04468274
15,2,1,1,1,5,1589326.43864441,3636856.18255034
40,2,0,1,3,6,1297946.54892313,3630004.75592679
16,1,2,0,7,10,1823578.06833765,5798006.27283132
19,4,1,0,1,6,1606899.27184458,3966770.31951494
18,6,3,0,6,15,2745109.38964119,6012194.36776828
31,5,3,0,5,13,1862933.15454078,8668988.87891817
16,5,1,0,1,7,1783081.78494351,2563622.95202802
12,1,3,0,3,7,1897915.98756574,5668388.52239304
21,2,3,2,3,10,2253511.79094763,3426756.60526441
38,1,0,2,0,3,933944.518703809,4851909.98620938
26,0,3,2,1,6,1541206.14017262,4361266.28888902
10,0,2,1,7,10,2111946.32559552,4574489.44562509
10,5,0,2,0,7,1759917.58191106,3592326.00817764
37,3,0,1,2,6,1578088.76039399,5917696.2129818
31,5,2,2,3,12,1777755.70743366,6576006.12140996
33,2,3,0,2,7,2132801.48361509,3676027.81592801
17,2,2,2,0,6,1706933.19237869,4490284.78584153
34,3,0,1,6,10,2305463.68311877,6648078.29819981
20,1,0,2,0,3,1201208.05841357,5414220.58937399
40,2,3,2,4,11,2012131.17329259,5140816.92824045
26,1,0,0,5,6,1133625.25904251,1758164.66412645
10,0,1,2,3,6,1480318.90289915,5592977.95291069
30,1,3,0,0,4,1169835.28974438,3608627.62798077
38,0,1,0,4,5,1439035.60979351,6243212.63154357
13,6,3,1,2,12,2292531.92442701,5920941.10258671
22,4,0,2,7,13,2287208.79355997,6994706.22543677
19,5,0,2,4,11,1944363.53632348,5735369.13382994
19,1,1,1,1,4,1424065.98805925,4586996.57248991
32,2,3,1,4,10,1761039.64749786,6479372.13335465
40,2,2,2,6,12,1866448.69400487,8897505.72082312
34,5,0,0,4,9,1273013.03909623,4524064.70974037
15,3,1,0,5,9,1754649.16981608,4181918.40957219
12,1,0,2,6,9,2269930.25448222,6730237.54280369
24,5,3,2,1,11,2246806.67679461,6830915.36039112
28,6,2,2,5,15,2747267.2453364,8836880.57807375
10,3,2,2,5,12,2174975.84338531,4176428.43340512
14,2,1,0,3,6,1425312.32521162,4248618.52815713
30,6,2,1,1,10,2010819.9222356998,6028296.85950666
28,1,3,0,2,6,1507936.78864628,6397400.21861609
26,3,1,0,3,7,1568710.87415081,3771457.39766161
25,1,0,2,7,10,1932130.5933985,5550700.89226956
38,4,2,0,4,10,1604711.34253993,4221751.15221277
36,5,0,0,7,12,1794657.54607458,5698391.6553197
26,4,3,1,0,8,1912267.27687075,4911220.51098042
10,6,0,0,2,8,2333670.06783516,7099275.10752112
18,2,2,1,1,6,1871364.70714461,2996913.80972748
21,4,1,2,4,11,2257754.97590472,3248555.63779638
22,6,1,1,4,12,2483523.36151544,7568656.639223101
16,3,2,2,4,11,1501728.68966762,4125274.60499328
19,2,3,1,0,6,1679321.85452139,3077878.29679695
20,5,1,2,3,11,1862103.93221496,5759273.3536591
12,4,3,2,0,9,1406727.99264272,4809655.93827476
25,5,1,2,0,8,1537997.0300403999,6479418.50209364
35,1,0,1,1,3,1239950.55401281,4867787.08866106
13,3,3,1,7,14,1717857.99931604,6223588.88091027
28,4,0,1,6,11,1720886.7257922,6534165.76150157
17,6,2,2,2,12,2492764.6121729002,7569930.36883803
10,4,1,0,3,8,1951127.67568922,4388217.46075442
12,0,1,2,0,3,956203.457552119,5747922.04567612
38,4,1,1,0,6,1813921.26861939,5894667.85650944
15,3,2,1,4,10,1864733.63699319,5911917.34523473
38,5,1,2,3,11,2645296.77280691,6287655.22706957
21,6,2,1,2,11,2637791.63589496,6065790.63250823
24,6,1,2,7,16,2539711.84431235,7224196.75861622
36,2,2,2,3,9,1696834.8913497,8090504.56980518
40,5,1,2,5,13,1665060.31990636,6399224.55753105
35,3,0,0,4,7,1406047.48191576,6629713.31711229
21,4,3,0,5,12,2138842.2132349,4034367.30376603
33,2,2,1,7,12,1837419.17547254,6129396.53899714
27,4,3,1,3,11,2003866.08688173,7207494.80302816
35,2,0,1,2,5,1091921.27292011,4065627.62939945
25,2,3,0,3,8,1345746.52041676,7495684.44548603
29,6,0,2,1,9,2077217.45559396,6306988.96119023
35,2,3,1,1,7,2246028.04017162,4690092.321705099
14,5,2,2,2,11,1829466.6823125998,7873598.57982036
26,5,1,2,0,8,2250139.67600719,6882695.39664257
20,4,1,0,4,9,1568892.52169583,5167060.45679545
14,4,0,1,5,10,2325646.94285875,4476563.45270565
16,0,1,0,7,8,1891969.53280389,5978285.70807953
24,3,2,0,5,10,1593250.08476362,4669965.18470169
36,3,1,1,4,9,1429734.72724604,6713007.0702914
36,1,0,1,0,2,1422466.89781299,4582086.47337772
10,4,2,1,6,13,2449721.77222128,8941642.062013699
10,3,3,0,4,10,1681656.38181217,4514685.56162165
30,4,1,0,6,11,2269405.88369073,7696341.11475368
13,6,0,0,7,13,2747478.98773428,7985314.07618323
13,3,3,2,0,8,2013372.03358692,2241489.06198111
35,2,0,0,6,8,1829310.4242063,6081569.44903002
35,3,3,0,2,8,1923294.95739068,5141313.26397841
22,5,3,0,1,9,1979577.95886381,4745836.42923273
20,1,1,0,1,3,1635079.99026867,2057688.18476725
20,0,3,0,0,3,908585.44834608,6866106.84669387
16,4,0,2,4,10,1573933.28399697,5649071.40347165
36,3,0,2,3,8,1841576.73597422,5683723.62772105
21,4,0,2,7,13,3164999.7855401,9306474.4814564
38,2,3,0,3,8,1857550.71441404,4305655.56647181
30,1,2,2,6,11,2319053.85783286,4791621.82617795
35,3,0,0,1,4,1652480.76215947,2854736.43615289
33,1,0,0,7,8,1265091.8260563998,5112600.45438413
28,0,2,2,1,5,1597448.31174105,4461390.68148132
17,2,1,2,2,7,1972273.05639503,5509353.043345599
37,4,0,0,2,6,1964897.85955189,6230278.9347446
30,0,2,1,7,10,2404706.41030371,6530010.03535832
36,1,3,2,3,9,1835159.63699635,8148507.914932201
33,4,3,0,4,11,1871828.17145794,4358930.76809892
25,6,2,2,3,13,2512169.00519333,5318787.04373569
16,6,0,2,3,11,1872205.83616966,3921561.38942319
36,1,1,1,1,4,1362592.11880304,6788865.58410265
16,2,2,0,4,8,1614259.51787092,7700957.58277742
22,3,0,1,6,10,1489313.42033263,7969785.25884295
34,2,1,2,1,6,1672359.61068323,4717956.80496647
34,2,3,0,0,5,1277709.33677359,3904244.92539766
35,3,0,1,5,9,1929442.22253676,6678647.13420926
34,1,0,0,4,5,1902933.70979664,5095538.25800159
31,1,2,0,1,4,1364708.54802827,4366473.76032197
15,4,2,1,6,13,1672266.4558115,10013538.5506574
12,6,0,1,0,7,1646996.72425253,5450342.82236833
39,4,3,0,4,11,2784810.13532888,6685972.48114453
37,3,3,1,6,13,1778593.15991188,6226501.4355075
29,0,0,1,3,4,1424884.66886401,3520870.66333026
13,1,2,0,1,4,1238052.72737416,3862204.87366527
25,5,2,1,5,13,2028995.31954437,11788944.1526845
23,4,0,1,0,5,1503906.40602862,2639230.28702315
17,0,3,1,5,9,1841575.47651207,6908740.89707387
17,4,0,0,6,10,1567549.79437399,2766770.74460375
17,0,3,0,0,3,1070151.95866712,5049203.08148962
11,4,3,1,0,8,2411101.93277019,5074591.11493984
27,2,3,0,3,8,1639650.22073791,7328333.97471719
28,5,2,1,5,13,2993740.8832262,7674498.48875437
10,6,0,1,5,12,2203021.77456815,4774366.37923469
23,3,1,2,5,11,2242982.28586056,4744593.69001009
34,1,3,0,5,9,2153423.40445524,7230488.19287919
10,4,0,2,4,10,2422431.27028556,4964494.49918809
33,5,1,0,6,12,2673182.87228017,9299576.15258453
11,5,1,1,1,8,2151603.66853424,2427639.73147765
14,6,2,0,1,9,1951399.36217392,6689254.07918901
30,4,1,1,5,11,2460634.39262059,4723393.73842377
13,4,0,1,6,11,1535007.2663025,7482346.60702164
36,1,0,2,4,7,1694352.9441138,4162575.87252846
28,1,2,0,3,6,1304444.20476401,6122471.28996278
12,3,3,1,6,13,2079554.90085726,4203318.51113371
40,3,1,0,0,4,1731339.72774332,3032856.59032734
33,1,1,1,6,9,1814722.3648384,5996389.92455809
23,5,1,2,5,13,2553885.82120003,6010319.94277948
16,4,0,2,6,12,2173263.75832738,6144520.240070901
14,4,0,1,6,11,2200435.78691628,3385065.26698741
31,2,1,1,5,9,1987089.72330496,7161555.59840637
27,5,3,1,1,10,1373789.29583472,4942209.70593756
24,2,3,0,6,11,1746500.58821431,5343267.1260171
40,1,3,2,5,11,2647763.74631398,5259731.07585124
17,0,0,1,3,4,1212426.32148148,7903145.5258349
27,3,1,0,0,4,1526809.32754613,1338477.20437211
13,0,0,1,2,3,1198311.65131462,2717583.96633617
29,6,2,2,5,15,2661354.50895336,7941497.29536459
27,4,0,2,6,12,1719561.66377223,8881767.62683675
24,5,1,0,4,10,1844122.89402376,8198768.33543448
15,0,2,1,0,3,1705840.23804502,3175303.10103246
18,0,3,2,3,8,2276157.49972119,5665477.115507
16,2,3,2,7,14,1860802.71723844,5365870.37036006
34,2,3,0,2,7,1978624.36578025,6181702.12341276
33,5,0,0,3,8,1767992.10814471,4010450.82788984
31,0,2,1,2,5,1510582.19242837,4620606.56735643
31,3,2,0,0,5,1582346.77687006,4444766.53133831
33,4,0,1,6,11,1867018.00465158,8310087.50593398
23,2,0,2,1,5,1684388.33286845,3724295.90485915
37,0,3,1,0,4,1502665.1906751,4279741.74100102
30,6,2,1,6,15,2685823.23807742,5773890.81342145
21,6,0,0,5,11,2314020.50933098,7320624.08604066
28,1,0,2,6,9,2078975.22567773,4919257.56292951
16,1,1,0,4,6,1358159.88315325,6920825.12253216
38,3,1,1,6,11,2139069.05150681,7101993.01542312
11,4,2,2,5,13,1202895.62201585,8832869.22662291
15,3,1,0,3,7,1100905.54759807,5322377.01773324
20,5,3,1,6,15,2356571.78605662,6765700.96454716
28,0,0,2,5,7,1648390.66381957,3113423.41129148
18,6,3,2,4,15,2945979.67297066,6964161.13510329
15,4,2,2,1,9,1903105.2313183,5697291.09434155
35,6,0,2,2,10,1494357.17938284,7115041.9311192995
17,2,2,2,7,13,2126893.75400189,8495144.93314282
16,3,1,2,3,9,1637761.32439301,4468409.62293892
13,5,3,1,5,14,2054870.24773517,8056940.88308785
26,3,0,2,2,7,2179380.96361689,4913480.03109805
28,6,0,0,3,9,2467264.90607892,6072906.58223873
37,5,3,0,2,10,1849471.99727698,8853239.15127149
14,1,0,0,1,2,1151342.46783454,4326420.52897994
23,0,1,0,1,2,1069163.52678191,5885134.5590056
26,1,2,0,5,8,1743321.93888533,6742513.684768599
36,0,3,2,7,12,2503489.46175772,6625639.08836534
25,1,2,1,0,4,1133835.62174529,2745739.10403972
19,3,1,2,1,7,1481909.29978181,2949665.00401639
15,6,1,0,5,12,2115133.67637114,5619962.23218138
29,4,2,2,6,14,2232113.46143061,7898866.51091118
14,5,2,2,7,16,3029978.39813473,4586317.44880673
16,1,1,1,2,5,967379.0419832091,6049638.99226526
18,3,3,0,1,7,1617490.49334374,5380375.24802264
39,2,0,2,6,10,2072356.56489699,5492843.79404389
23,4,1,1,1,7,956063.286981437,7202808.43787997
32,6,0,1,6,13,2142676.08351377,7321600.19505212
12,2,2,0,1,5,1624705.74133518,2716193.41307748
39,6,1,1,7,15,2911276.88314125,8586603.4576252
19,2,1,1,5,9,1727308.09406336,7066081.31443007
29,6,0,1,6,13,2350830.87806644,7844276.35025854
29,2,1,2,2,7,1812256.31381651,1988061.86422422
39,3,0,1,0,4,1216104.69114575,7086529.67658788
10,6,1,0,0,7,1491671.87781963,3908102.87792933
20,4,0,1,5,10,2270578.03895124,2912878.12731152
27,5,2,2,2,11,2466045.73472852,7553909.83599415
19,5,1,1,1,8,1560400.68910557,5518755.21522539
25,6,0,0,4,10,1738180.43986895,2960545.12302542
16,3,1,2,3,9,1612913.91830712,8166781.80400563
34,2,0,2,5,9,1788979.90829055,2866025.35338364
38,6,2,1,7,16,2621703.52933224,8382791.13555307
26,6,1,2,7,16,2748904.98622854,7583843.18021315
23,2,0,2,5,9,2083350.0935667,7948479.20065326
23,0,0,0,6,6,1720707.96040065,2810171.86558252
28,4,0,0,3,7,1908225.49881474,5452233.59049056
38,1,0,2,0,3,1346570.94064059,1681233.61437651
25,0,1,0,1,2,1272680.64269351,4661990.95512572
25,4,3,1,6,14,1833334.95508799,11633798.7833446
16,4,3,0,0,7,1804972.06497893,5443554.00136836
13,4,1,1,0,6,1807127.03388966,4720307.75473525
37,0,0,1,7,8,1618802.47553353,6085326.54279771
20,2,2,1,4,9,1551429.04992794,8048791.31030092
14,6,0,2,5,13,2558328.0319192,9243490.5858737
15,0,1,2,6,9,1846366.91932534,2656223.08644517
12,6,3,1,2,12,2505410.43971378,6509847.9374583
36,1,2,2,2,7,2179355.07571637,7050576.30764034
37,6,0,0,6,12,1757241.69983608,8050853.88963419
33,0,3,0,6,9,2135435.6355063,10867015.7959585
22,3,2,0,0,5,1414967.05547536,3542390.32732894
21,0,3,1,5,9,2624753.65820924,8863809.09509275
21,0,2,0,6,8,1858832.17320249,7341084.76478993
35,2,2,1,7,12,2235348.14042248,5948753.38444442
27,6,1,1,2,10,1727756.50102759,3674331.75250016
28,2,1,2,3,8,1738128.40067265,3186032.86010874
28,2,1,1,2,6,1555655.19333328,6834906.678686
32,5,2,2,2,11,2376103.4314786,6998697.76075879
25,5,3,1,2,11,2519460.26044815,2524907.51200182
18,1,1,2,1,5,1640866.84036311,5536562.44202441
35,5,1,1,7,14,2776194.24799616,10197642.872224199
40,4,3,2,2,11,2409007.40232397,6394847.13373565
15,5,0,0,3,8,1555451.60324118,7517552.24104632
20,6,0,0,7,13,2658124.09950867,6245377.96916939
40,3,2,1,6,12,2970266.81697032,4480269.14877056
34,1,3,2,4,10,2019476.14721117,4842923.96827648
31,5,2,2,1,10,2443851.40042595,8285360.55478647
10,2,3,0,0,5,1271255.37399272,5060932.02003704
26,5,1,0,5,11,2140014.58609292,6461748.745036701
36,2,3,1,5,11,2045665.0985393003,7103813.46125542
29,5,3,1,5,14,2588705.76517734,4294636.94970999
39,3,1,2,2,8,1983004.8734143001,3867887.91322796
21,6,2,0,1,9,1788035.2453608,6441452.93540655
24,5,2,0,2,9,1790705.98259099,6597766.79965509
25,4,0,2,6,12,2025550.88360293,4805104.18206767
15,6,2,2,3,13,3137579.48089699,5140185.41250392
28,0,2,0,5,7,1711743.97104978,3918454.56552588
33,5,1,2,7,15,2149560.18518811,10627211.437725099
19,3,2,0,2,7,1805955.33231202,5487459.08556007
27,3,2,2,1,8,1431558.37198886,514989.452326493
39,0,3,0,7,10,1955151.56447662,4373670.33813679
30,0,0,2,3,5,1161873.75578639,3078009.17080517
29,2,0,1,4,7,1500709.69863108,7738637.1558302
23,0,2,2,7,11,2462671.10129352,8242258.98295172
15,3,0,2,5,10,2246206.35333699,7746285.88859868
39,2,1,1,2,6,1879851.90624703,5591374.58301553
30,3,2,1,6,12,1478344.6988902001,7549953.40843018
20,0,3,0,5,8,1585469.52641026,7198744.55915751
13,4,3,2,2,11,1572153.19734991,7552123.29705134
29,6,3,0,2,11,1695878.73941543,6569061.25459201
33,4,3,2,1,10,2215272.97773544,5753725.27090032
32,3,0,2,4,9,1524702.78933187,4575149.63466577
21,3,0,0,3,6,2000832.09981028,3213970.18076834
30,1,0,0,0,1,1022399.72582077,3195001.11258581
31,6,0,1,5,12,2358303.22404171,2976651.30327589
29,6,1,2,3,12,2067833.82865983,8726156.53888058
11,4,2,2,7,15,2503961.99616154,7327905.95457468
18,2,2,0,1,5,1221076.49125938,5582570.60520673
39,0,0,2,7,9,2169676.22272955,7590704.22620557
28,3,1,0,4,8,1483513.56614762,5677559.73057141
22,3,3,2,5,13,1406830.77488164,6067074.49067005
20,0,3,0,2,5,1476866.42168188,6122896.59982936
38,6,1,0,6,13,2067894.67739437,6888456.23794033
12,1,0,0,1,2,1112708.38098811,3993047.6050206
32,1,0,0,3,4,1280158.64818295,7174586.31120822
38,5,1,1,6,13,2237492.19572628,9743217.43191997
33,2,1,1,1,5,1211307.02918025,4805180.1770069
14,2,0,1,5,8,1813273.67263332,3522919.22963437
13,2,0,0,5,7,1312709.67734971,3957582.03034163
14,0,3,0,2,5,1453723.00479143,5227441.78795408
32,0,2,2,3,7,1721461.99380436,7433017.25490409
21,6,0,1,5,12,2543456.91209734,9658689.94220878
39,0,0,1,2,3,1256486.93390305,4115061.65888966
24,6,3,2,4,15,2322002.87913104,9937328.93228132
19,4,2,1,0,7,1802245.37231265,4174379.41420232
14,2,0,1,7,10,1904846.58865121,7001565.42874588
24,0,1,0,1,2,1159255.74566775,4989041.3262587
33,4,3,0,5,12,2234327.35769656,8412153.35959403
27,4,3,2,7,16,2929701.2930605,11558633.0642348
30,6,1,0,7,14,2930976.14478038,6967262.0944763
34,4,0,2,0,6,1618075.67335152,4167021.76242956
40,4,2,0,0,6,1634993.78236651,4681782.60485824
30,2,3,2,0,7,1289929.54917694,6931209.62093176
29,3,3,2,3,11,2657733.36067643,7042751.385084501
24,6,1,2,1,10,2412667.0460857004,5325204.88298144
10,2,3,2,0,7,1574985.16746507,2728698.25161457
38,1,1,0,3,5,2012795.14977704,5095396.43827245
35,2,2,1,3,8,2542767.18880404,3901150.34586944
38,5,0,0,3,8,1907244.40022018,6487109.18796911
34,1,2,1,5,9,1285025.23115188,4267157.16057094
34,1,3,1,6,11,2397658.78607699,3867093.27761938
23,2,2,2,6,12,1537761.40635555,5247464.82543181
37,6,1,1,7,15,2488009.19885843,8617023.66366038
22,2,1,2,4,9,1898288.40120218,5073138.78922731
39,4,3,2,4,13,2171233.35118838,7473732.89565999
35,6,0,1,2,9,2004349.68017834,6064761.23998627
38,2,1,2,7,12,2319393.97067613,7776373.59755336
29,5,0,1,2,8,1582757.71231015,6821680.56108025
24,0,1,1,7,9,2220108.16536739,6713333.06297859
17,6,0,2,6,14,2559610.94566492,7645329.89616401
40,0,0,0,7,7,1495920.05069248,6060827.55182112
10,6,3,1,6,16,2880402.90228933,9522800.55042033
31,5,1,0,6,12,2596011.35819677,5398877.97040388
19,0,3,2,4,9,1509945.07874923,7907808.94409578
23,1,3,1,1,6,1329185.46642822,2092919.26175884
26,5,3,2,1,11,1827339.64971714,11215173.710336301
34,4,3,0,0,7,1862889.7980876,7957406.91939926
39,6,0,0,2,8,2279964.63981301,6447205.92564083
11,6,3,2,6,17,2159892.33491531,7551911.54315394
18,5,0,2,5,12,1704080.51161841,5538085.32241459
22,4,0,0,0,4,1454539.1478975,3856158.41776315
11,0,3,0,7,10,2140940.44413126,6405683.57632771
37,0,3,0,2,5,999511.776436344,3664870.82456226
18,6,2,2,0,10,2005024.71070639,5156652.89176596
20,2,0,1,0,3,1514480.37017953,1514480.37017953
26,5,0,0,0,5,1773699.93188421,6457584.470745
26,1,3,0,6,10,1877307.36070154,7902373.35818007
21,1,1,2,7,11,1548686.0832540002,8956813.79469137
38,1,3,2,0,6,1695254.44462488,5422974.02338116
28,2,2,1,2,7,1328446.45656855,4405127.14243312
13,6,1,1,6,14,1239963.93801571,6953819.79685573
37,6,0,0,3,9,1813236.46656019,2593014.54126012
18,5,2,0,6,13,1711251.58865062,8346528.782972099
20,1,1,0,1,3,1371028.35148995,4843482.02548882
36,6,2,2,3,13,1052368.77451057,8999277.23135088
21,1,0,2,4,7,1336381.86025904,3948183.95723583
21,5,3,2,4,14,2817275.59423046,7831081.41096922
16,2,2,0,1,5,1381559.34090319,2686710.87776386
24,0,1,1,7,9,2193808.62545534,626504.331035041
16,1,2,1,6,10,1997218.77900862,7292404.394454
29,2,1,0,1,4,1521561.44469952,3519693.71636891
17,0,0,2,7,9,2246821.50643166,6523414.59891682
13,4,1,1,4,10,2294895.26689915,7246657.72712331
24,2,2,1,5,10,2118244.17005874,3161712.94207842
29,4,3,1,2,10,2151634.61660073,4157351.16403241
35,1,0,2,0,3,1455635.43662555,4474595.73555394
32,2,3,1,4,10,1541699.41712708,5814997.19480285
19,5,1,0,5,11,1793184.07357709,5349189.56343661
38,1,1,2,2,6,936619.838484177,5157470.76452968
10,3,2,1,0,6,1473253.64792722,7209444.97312786
20,3,2,2,4,11,2175576.81012727,9370825.96443773
40,6,1,1,7,15,1613079.53525546,3968572.44595027
32,2,0,0,2,4,1312473.63293582,5169672.81910123
25,4,1,0,2,7,1713890.72144347,3664943.45846531
25,6,0,1,6,13,1818650.71422195,6408532.67095971
12,1,0,1,1,3,1494803.70119915,5495944.03666184
14,6,0,0,7,13,2243672.43867929,9395848.09721342
13,4,0,2,5,11,2321155.7038288,3263633.97781831
21,0,1,0,4,5,1333735.31711023,6287305.80217795
36,4,2,2,4,12,2785010.35784994,6692083.69842679
10,5,0,2,1,8,2041673.71502895,4028393.92209083
38,6,2,0,3,11,3045716.66007549,4023038.39770785
19,4,3,2,4,13,1778015.49130464,4917890.07692732
10,3,3,1,0,7,1537953.31407883,3372911.67370816
35,0,2,0,6,8,2162795.82049131,5829383.07060784
19,3,3,2,4,12,2017342.27692977,6910586.02533062
17,4,1,2,6,13,2660639.94885798,7574385.93228467
18,0,2,0,0,2,1199458.07471136,430698.387273026
27,5,2,2,7,16,2258154.13277999,6476748.78380549
38,6,1,2,5,14,2072252.51882406,10936703.0700985
31,0,3,1,6,10,1952182.47056488,9470444.16392748
11,6,2,1,5,14,2106039.99991003,8034381.81989427
34,0,2,0,2,4,1120426.57937052,6897875.80671275
32,2,1,1,2,6,1660919.97946636,3562581.66804938
30,4,2,1,0,7,1026551.85255431,4411565.35555574
12,1,2,0,3,6,1909345.89976498,5348813.76905094
12,2,0,0,3,5,1254686.16306338,3040585.00567565
39,5,1,1,0,7,1880505.91283858,7896210.60387998
12,2,1,0,7,10,1976322.10123636,3963204.90860262
36,2,0,1,7,10,1759951.38653617,4482663.29923827
22,1,1,2,1,5,2285833.5441759,3328680.73887791
26,0,2,2,1,5,1456441.29909353,5520828.97988611
19,4,3,2,7,16,2312684.2142167003,6693848.3116791
37,0,2,2,1,5,1456183.70104322,2483648.31549983
11,4,1,2,5,12,1883776.33981426,7264206.69129897
35,6,0,0,0,6,1789722.26723583,5362935.0010494
15,2,1,1,1,5,1816356.43081212,5466667.98070269
23,1,2,1,2,6,1438092.31974756,5119574.87311463
35,6,0,1,4,11,2312674.68240166,6882033.61435586
27,4,0,0,6,10,1964546.53437896,5604702.02087658
37,5,3,1,0,9,1886728.2771472,3718210.7224065
29,1,3,2,1,7,1900705.76892362,6982799.37846763
38,6,0,2,1,9,1625148.65951152,7412268.14088961
10,1,2,2,3,8,1497078.12349701,4276507.32193632
16,2,1,0,4,7,1763959.24850755,6693876.60157112
21,5,3,1,6,15,2549501.89849516,9352729.29483536
29,5,1,2,6,14,2562313.37633581,6584557.83271637
18,0,0,0,3,3,1254738.25076616,4425492.23477117
39,1,3,2,1,7,1373021.53760871,4746773.76315594
38,5,1,2,7,15,2257884.53479866,9847504.86275977
31,5,3,0,4,12,1772337.64680391,7172511.84821013
21,1,3,0,7,11,2105334.15767478,8897682.18226033
18,6,0,2,6,14,2465598.34360558,2916694.37421733
20,2,3,1,1,7,1874173.17309991,5287050.81376861
24,4,3,1,2,10,1745627.46517237,6237950.26614893
14,6,2,0,4,12,2791249.4081709,5754218.24228006
17,2,2,1,7,12,2483257.60963113,8884252.152036501
36,2,3,1,6,12,2972391.86689885,5615885.48403083
10,4,1,0,5,10,2106993.73212427,8250801.44018861
27,1,2,2,6,11,2482802.96755255,6225992.36059871
10,4,2,1,3,10,2271166.05259471,7398261.11708266
39,3,1,2,3,9,1561823.7255719,4460514.24620917
14,3,3,2,1,9,1717645.14638251,6774078.54630872
27,5,1,2,6,14,2621782.70085264,8323260.7166928
27,0,2,2,2,6,1381628.14820321,8099930.93349
29,1,2,0,0,3,1371523.11607159,2892740.11759306
13,1,0,2,0,3,1741051.99598702,1741051.99598702
26,5,2,1,4,12,2256448.88291695,7776439.18912782
10,3,1,2,2,8,1816528.02652541,5000336.17092308
16,0,3,1,5,9,1726943.06253833,6249011.97822723
