"SEX","STATUS","CHILDREN","Est_Income","AGE","PAY_MTHD","CHURNED"
"F","M",2,22137,27,"CH","Vol"
"M","M",2,70908.7,74,"CC","Vol"
"F","M",2,67239.4,66,"Auto","Vol"
"M","M",1,69406.7,70,"CC","Vol"
"F","M",2,83259.3,76,"CC","Vol"
"M","M",1,78877.5,33,"CC","Current"
"M","M",0,68438.3,54,"CC","Current"
"M","S",0,9448.62,67,"CH","Current"
"M","S",2,60095.2,34,"Auto","Current"
"M","M",1,20818.5,19,"Auto","Vol"
"F","M",1,11895.7,82,"CC","Vol"
"F","M",1,51261.9,97,"CH","Vol"
"M","M",1,76511.3,93,"CC","Vol"
"F","S",2,84453.1,86,"CC","Current"
"F","M",2,33607,73,"CC","Vol"
"F","M",1,84601.4,73,"CC","Vol"
"M","S",2,86905.4,50,"CC","Current"
"F","S",2,96025.5,87,"CH","Vol"
"M","M",2,24457.6,23,"CH","Vol"
"M","M",2,36439.8,71,"CC","Current"
"F","S",2,98226.2,24,"CH","Current"
"M","S",1,94188.3,86,"CC","Current"
"F","M",0,25080.6,55,"Auto","Vol"
"F","M",2,63670.8,69,"Auto","Vol"
"M","S",0,5282.6,40,"CC","Vol"
"F","S",0,77644.1,79,"CH","Current"
"M","S",0,80693.1,78,"CC","Current"
"F","M",0,50290.7,46,"CC","Vol"
"F","M",2,91051,40,"CC","Vol"
"F","M",0,89915,41,"CH","Vol"
"M","S",2,14799.8,70,"CC","Current"
"M","M",1,74381.5,70,"CH","Vol"
"M","M",1,9132.91,83,"CH","Current"
"M","M",2,29277.8,77,"CC","Current"
"F","M",0,99309,91,"Auto","Vol"
"F","S",0,78564.7,73,"CC","Current"
"M","S",1,63230.3,49,"CC","Current"
"M","S",1,98533.3,56,"CC","Current"
"F","M",0,50530.8,79,"CC","Vol"
"F","M",2,8502.99,91,"CC","Vol"
"M","S",0,14865.8,46,"CC","Current"
"M","M",0,84743.7,47,"CC","Current"
"M","M",2,64009.7,89,"Auto","Current"
"M","M",0,20159.5,84,"CC","Vol"
"F","S",2,85184.6,73,"CH","Vol"
"F","M",0,17021.6,77,"CH","Vol"
"F","S",0,96854.3,43,"CC","Vol"
"F","S",1,31240.3,93,"CC","Current"
"F","S",2,61463.7,25,"CC","Current"
"M","M",1,9148.27,97,"Auto","Current"
"F","S",0,58488.3,36,"CC","Current"
"M","M",0,4592.8,25,"Auto","Vol"
"F","M",2,30998.8,61,"Auto","Current"
"M","M",1,36510.9,64,"CC","Current"
"M","M",1,43378.2,88,"CC","Current"
"M","M",1,76137.8,18,"CC","Current"
"F","S",2,63291.1,72,"CC","Vol"
"M","M",1,81271.1,92,"CC","Current"
"F","M",0,47750.4,40,"CC","Vol"
"M","M",2,71686.2,88,"CH","Current"
"F","S",1,73874.1,29,"CH","Current"
"M","S",0,15924.2,21,"CH","Current"
"M","M",0,93201.3,67,"CC","Current"
"M","S",1,18064.4,74,"CC","Current"
"F","S",0,45667.1,61,"CC","Vol"
"M","S",0,73850,77,"Auto","Current"
"F","S",2,21709.7,21,"CC","Vol"
"F","M",2,49745.3,71,"CH","Current"
"M","S",1,54164.9,32,"CC","Current"
"F","S",0,15906,52,"CC","Vol"
"F","M",0,50290.7,78,"CH","Current"
"F","M",1,83850.5,84,"CH","Vol"
"F","M",2,50968.9,35,"CH","Vol"
"F","M",2,60060.5,38,"CC","Current"
"F","S",0,36486.4,33,"CC","Current"
"F","M",1,87302.6,56,"Auto","Vol"
"F","S",2,43046.4,20,"CC","Current"
"F","M",2,88427,20,"CC","Current"
"M","M",2,37877.6,45,"CH","Current"
"M","S",0,5930.86,19,"Auto","Vol"
"M","M",2,61334.8,58,"CC","Current"
"F","S",0,16175.6,85,"CC","Vol"
"F","S",2,97445.2,90,"CH","Vol"
"M","S",2,75639.8,85,"Auto","Current"
"M","M",1,32981.6,58,"CH","Current"
"M","M",0,83876.4,94,"Auto","Vol"
"M","S",2,81997,90,"CH","Current"
"M","S",0,83378.3,37,"CC","Current"
"F","M",1,82388.2,31,"CH","Current"
"M","M",2,80289.1,64,"Auto","Current"
"F","M",2,23816.6,86,"CC","Vol"
"F","S",0,41340.6,26,"CC","Current"
"F","S",2,90856.9,34,"CC","Current"
"F","S",0,58623.8,39,"CC","Current"
"F","M",2,95429.7,48,"Auto","Vol"
"F","S",2,59478.8,59,"CH","Vol"
"M","M",1,50535.8,38,"Auto","Current"
"M","M",2,33361.3,62,"CH","Current"
"F","M",0,50290.7,56,"CH","Vol"
"M","M",0,110.284,39,"Auto","Current"
"M","S",2,5565.43,32,"CC","Current"
"F","M",2,80844.5,71,"CC","Vol"
"F","M",2,88177.1,67,"CC","Vol"
"M","M",0,37113.6,71,"Auto","Current"
"M","M",1,4054.55,58,"CH","Current"
"F","S",1,32533.9,61,"CC","Vol"
"M","M",2,61825.5,21,"CC","Current"
"M","M",1,38997.7,35,"CC","Current"
"M","M",1,15865.5,61,"CH","Current"
"M","S",1,37111.5,53,"Auto","Current"
"F","M",2,87182.7,73,"CC","Vol"
"M","M",0,60101.1,95,"CH","Current"
"F","M",2,74628.1,89,"Auto","Vol"
"F","M",1,13829.4,39,"CC","Current"
"F","S",0,48755.1,75,"CC","Vol"
"F","S",1,68339.3,33,"CC","Current"
"F","M",0,98433.8,25,"CC","Vol"
"M","S",0,79937.2,64,"CC","Current"
"M","S",0,32683.9,87,"Auto","Current"
"M","S",2,88408.2,61,"CC","Current"
"M","M",2,70722.3,32,"CH","Current"
"M","S",0,88044.4,48,"CC","Current"
"F","M",1,95971.9,97,"CC","Vol"
"F","M",1,50290.7,87,"CC","Vol"
"M","S",1,41153.9,57,"CC","Current"
"M","S",0,3184.42,60,"CH","Current"
"M","M",0,97603.6,63,"CH","Current"
"F","S",2,60744.4,74,"Auto","Current"
"M","M",0,63985,41,"CH","Current"
"F","S",0,19854.2,63,"Auto","Vol"
"F","M",0,17703.5,34,"Auto","Current"
"M","S",1,91100.6,85,"CC","Current"
"M","S",0,25938.5,35,"CC","Current"
"F","S",0,7379.6,79,"CC","Vol"
"F","M",2,19778.9,53,"CH","Vol"
"M","M",2,60459.6,46,"CC","Current"
"M","S",0,57122.2,66,"CC","Vol"
"F","M",0,58267.3,29,"CC","Current"
"F","S",0,70460.3,77,"CC","Vol"
"F","M",2,98217.1,67,"CC","Current"
"F","S",1,32005.6,96,"CH","Vol"
"M","M",1,5723.09,97,"CC","Current"
"F","S",1,55035.5,48,"Auto","Vol"
"M","S",2,14309.1,94,"CH","Current"
"F","S",0,66502.3,85,"CH","Vol"
"M","S",0,30751.8,55,"Auto","Current"
"M","S",0,86631.9,27,"CC","Current"
"F","S",0,40519.3,71,"CC","Vol"
"F","S",1,36939.7,75,"CC","Vol"
"M","M",1,40081.2,41,"CH","Current"
"M","M",1,68273.3,84,"CC","Current"
"F","S",0,42795.9,56,"CC","Vol"
"M","M",2,1140.26,94,"CC","Current"
"F","M",2,41876.6,66,"CC","Current"
"F","M",2,59758.4,20,"CC","Current"
"F","M",0,8370.36,52,"CC","Current"
"F","M",1,7790.55,65,"CC","Vol"
"F","S",2,27336.6,41,"CC","Vol"
"F","S",0,64727.5,49,"Auto","Current"
"F","S",2,95930.6,60,"CH","Vol"
"M","S",0,50290.7,34,"CC","Current"
"M","M",1,20478.6,49,"Auto","Vol"
"F","M",0,72626.4,20,"CC","Current"
"M","M",0,96223.4,97,"CC","Current"
"M","S",1,28485.7,93,"Auto","Current"
"F","M",1,69341.7,30,"CC","Vol"
"M","M",2,94329.6,60,"CC","Current"
"M","M",2,67933.8,60,"CC","Current"
"M","M",0,17527.3,91,"Auto","Current"
"F","M",1,88663.4,24,"CC","Current"
"M","S",2,91136.2,57,"CC","Current"
"M","S",2,52600,38,"CC","Current"
"M","M",2,94902.6,50,"CC","Current"
"M","M",2,68704.3,77,"Auto","Current"
"F","M",1,78231,51,"CH","Vol"
"F","M",2,28746.8,33,"CC","Current"
"F","M",1,62260.2,58,"CC","Vol"
"M","M",0,12439.4,43,"CC","Current"
"F","M",0,60170.1,33,"CC","Vol"
"M","M",1,57348.8,22,"CC","Current"
"M","M",2,42630,19,"CC","Current"
"F","M",2,64977.4,57,"CC","Current"
"F","S",2,36824.5,44,"Auto","Vol"
"F","S",2,39223.2,28,"CH","Vol"
"M","M",0,42700.5,39,"CC","Current"
"M","S",0,38248.3,93,"CC","Current"
"M","M",1,95020.4,92,"CC","Current"
"M","M",0,46514.2,84,"CC","Current"
"M","M",1,19301.3,50,"CH","Current"
"M","S",0,1259.01,73,"CC","Current"
"F","S",1,53357.2,64,"Auto","Vol"
"F","S",0,65209.6,80,"Auto","Vol"
"F","S",0,5978.89,37,"Auto","Current"
"M","M",0,92198.8,78,"CH","Current"
"M","M",1,63394.9,97,"CC","Current"
"F","S",1,86021.7,42,"Auto","Vol"
"F","S",2,26107.5,53,"CC","Vol"
"F","M",0,59008.4,45,"CC","Current"
"F","M",0,6528.38,64,"CC","Vol"
"M","S",0,54622.3,52,"CH","Vol"
"M","S",0,64295.2,47,"CH","Current"
"M","M",0,26074.5,79,"CC","Vol"
"M","M",1,20552.6,60,"CH","Current"
"F","S",0,47732,37,"CC","Current"
"M","M",1,98967.7,71,"CC","Current"
"M","M",0,14271.8,76,"CC","Current"
"F","M",1,7700.73,44,"Auto","Vol"
"M","M",1,32238.2,35,"Auto","Current"
"F","M",0,2902.34,97,"CC","Vol"
"F","M",0,61438.2,73,"Auto","Vol"
"M","S",1,72649.3,26,"Auto","Current"
"M","S",2,25353.4,85,"CC","Current"
"M","M",2,5265.35,79,"Auto","Current"
"F","M",1,53357.9,86,"CH","Vol"
"F","S",2,59573,33,"Auto","Current"
"F","S",0,84479.2,97,"CC","Current"
"M","M",2,89781.4,27,"CC","Current"
"M","S",1,66296.1,40,"CH","Current"
"M","M",2,86549.5,35,"CC","Vol"
"F","M",0,31242.1,86,"CC","Vol"
"M","S",0,90866.5,46,"CC","Current"
"F","M",2,81711.9,58,"CH","Vol"
"F","M",2,87844.8,74,"CC","Vol"
"F","M",0,20058.4,30,"Auto","Current"
"M","M",1,52750.8,28,"Auto","Current"
"M","S",1,52231.5,41,"CC","Current"
"F","S",1,73338,72,"Auto","Current"
"M","M",0,15865,31,"CC","Current"
"F","S",1,68386.8,71,"CC","Vol"
"F","S",1,92353.3,60,"CC","Vol"
"F","M",2,94778.3,34,"CC","Current"
"F","M",2,45488.3,57,"CC","Vol"
"M","S",1,57347.6,97,"CC","Current"
"M","S",0,52774,83,"CC","Current"
"F","M",1,56545.8,76,"CH","Vol"
"F","M",2,45171.2,30,"CC","Current"
"F","S",2,76578.7,34,"CC","Current"
"M","M",2,98855.5,64,"Auto","Current"
"M","M",1,81686.6,63,"CH","Current"
"F","M",1,8469.02,45,"CC","Vol"
"M","S",0,67477,60,"CC","Current"
"F","S",1,62903.3,97,"CH","Vol"
"F","M",1,19621.6,73,"CC","Vol"
"F","M",1,50290.7,22,"CH","Vol"
"F","M",2,99100.1,67,"Auto","Vol"
"M","M",2,1585.99,97,"CH","Current"
"F","M",2,85433.1,33,"Auto","Vol"
"M","S",1,69473.4,58,"CC","Current"
"F","S",0,28891.2,47,"CC","Vol"
"F","M",2,46273.9,95,"CC","Current"
"M","S",1,93607.8,36,"CC","Current"
"M","S",1,67137.7,79,"Auto","Current"
"F","M",2,48874.7,60,"CH","Vol"
"F","M",0,53755.7,55,"Auto","Vol"
"F","M",1,74263.8,72,"CH","Vol"
"M","S",0,6121.14,31,"Auto","Current"
"F","M",0,31561.5,44,"CC","Vol"
"F","M",1,55187.6,75,"CH","Vol"
"M","M",2,14500.3,53,"CC","Current"
"F","M",2,585.733,21,"CC","Vol"
"F","M",2,16616.3,34,"CH","Current"
"M","M",1,31672.4,66,"CC","Current"
"M","M",0,50290.7,63,"CC","Current"
"M","S",1,73965.2,89,"Auto","Current"
"M","M",2,72356.8,50,"CH","Current"
"M","S",0,64893.7,78,"CC","Current"
"F","M",0,18831.1,62,"CH","Vol"
"F","M",0,1461.98,44,"CC","Vol"
"F","M",0,2031.61,30,"CC","Current"
"F","M",1,29902.9,71,"CC","Vol"
"F","S",0,97524.5,64,"Auto","Vol"
"M","S",0,5466.39,33,"CC","Current"
"F","S",1,38458.6,27,"Auto","Vol"
"F","S",0,50451.6,46,"CC","Vol"
"F","S",2,41146.2,46,"CC","Vol"
"M","M",0,61550.6,96,"CC","Current"
"M","S",0,43082.6,24,"CC","Vol"
"F","S",2,7659.09,95,"CC","Vol"
"M","S",0,71861.9,19,"CC","Current"
"F","S",1,55844.7,23,"Auto","Current"
"F","S",1,91346.9,94,"CC","Current"
"F","S",0,72358.6,62,"CC","Current"
"F","S",0,44497.3,52,"Auto","Vol"
"M","S",2,69710.9,55,"CC","Vol"
"M","M",2,77665.6,82,"CC","Current"
"M","M",2,22567.9,19,"CH","Current"
"M","M",2,42763.7,33,"CC","Current"
"F","S",1,46480.7,94,"CC","Vol"
"F","S",0,35219.6,65,"CC","Vol"
"M","S",2,31264.5,44,"Auto","Current"
"M","S",1,64520.3,76,"CC","Current"
"M","S",2,37480.8,52,"Auto","Current"
"M","S",0,37135.5,28,"CC","Vol"
"M","M",2,24344.1,92,"CC","Current"
"F","M",2,28384.5,66,"CC","Vol"
"M","S",2,97928.4,79,"CC","Current"
"F","M",1,53676.8,51,"CC","Vol"
"M","M",2,68467.1,43,"CC","Current"
"M","M",2,57877.5,96,"CC","Vol"
"M","S",2,57814.5,96,"CC","Current"
"M","S",0,67634.7,81,"Auto","Current"
"F","M",1,83682.9,27,"CC","Current"
"M","M",0,98399.9,86,"CH","Current"
"F","M",1,67744.5,22,"CC","Current"
"F","M",1,47468.6,60,"CC","Vol"
"F","S",2,47893.1,80,"CC","Vol"
"M","S",1,14904.1,68,"CH","Current"
"M","M",0,42639.1,42,"CC","Current"
"F","S",2,90364.4,28,"CH","Vol"
"M","M",2,73113.3,79,"CH","Current"
"F","S",2,4581.9,71,"CC","Vol"
"M","M",1,87660.8,89,"CC","Current"
"M","S",0,56421.8,70,"CH","Current"
"F","M",2,44596.4,48,"CC","Vol"
"M","S",1,86629.3,60,"CC","Current"
"M","S",0,41862.6,49,"Auto","Current"
"M","M",2,64283.2,62,"CC","Current"
"M","M",0,92167.3,86,"CH","Current"
"M","S",0,79245.1,37,"Auto","Current"
"M","M",0,82196.6,46,"CC","Current"
"F","S",2,15981.7,62,"CC","Vol"
"M","M",2,77246.3,56,"CC","Current"
"F","M",0,67026.6,52,"CC","Vol"
"F","S",0,21038.9,44,"CC","Vol"
"F","S",2,49724.1,94,"CC","Vol"
"F","M",1,24935.2,28,"CH","Vol"
"M","S",1,15060.6,80,"CH","Current"
"M","S",1,95935.2,72,"CH","Current"
"M","S",1,11416.7,46,"CC","Current"
"F","M",1,70052,81,"CC","Vol"
"F","M",2,66906.6,88,"CC","Vol"
"M","M",2,37354,53,"CC","Current"
"M","M",2,79952.9,56,"CC","Current"
"F","S",1,76659.2,23,"CC","Current"
"F","M",2,75750.1,42,"CH","Vol"
"F","M",1,50290.7,29,"Auto","Vol"
"M","M",2,78801.2,86,"CC","Current"
"M","M",1,73152,80,"CH","Current"
"F","M",2,68203.8,33,"CH","Current"
"F","S",0,29534.4,78,"CC","Vol"
"F","M",1,75265.3,83,"CC","Vol"
"M","S",1,92426.5,68,"CC","Current"
"M","S",2,17371,58,"Auto","Current"
"M","S",1,92788.1,21,"CC","Vol"
"M","M",2,25298.6,30,"CC","Current"
"M","M",2,29609.7,65,"CC","Current"
"M","M",1,21890,88,"CC","Vol"
"M","M",0,47131.5,75,"CC","Current"
"F","M",0,70004.1,50,"CH","Vol"
"M","M",0,66223.5,40,"CH","Current"
"F","S",2,63041.1,32,"CC","Current"
"F","M",0,35170.8,23,"CH","Vol"
"F","S",0,3902.04,63,"CC","Current"
"F","M",2,55977.7,31,"CC","Current"
"F","M",0,6921.4,29,"CH","Vol"
"F","M",1,45682.8,64,"Auto","Current"
"F","M",2,38281.1,50,"CC","Vol"
"M","S",0,18861.6,29,"CH","Vol"
"M","M",0,89958.8,19,"CC","Current"
"F","S",0,50290.7,25,"CH","Current"
"F","M",0,61971.9,30,"Auto","Current"
"M","M",2,25672.6,23,"CH","Vol"
"M","M",2,38457.9,82,"CH","Current"
"F","S",1,96519.1,67,"CC","Vol"
"M","M",0,34805.5,46,"CC","Current"
"F","M",0,38687.2,82,"Auto","Vol"
"F","S",0,69977.3,62,"CC","Vol"
"M","M",2,95184.9,96,"CH","Vol"
"M","S",0,53919.9,64,"Auto","Current"
"M","S",1,84100.4,85,"CC","Current"
"M","M",0,60550.5,90,"Auto","Current"
"M","M",0,14604.9,83,"CC","Current"
"F","M",1,97220.7,18,"CC","Current"
"M","M",0,82003.9,38,"Auto","Current"
"M","M",1,23919.1,78,"CC","Current"
"F","M",2,90971.4,33,"CC","Current"
"F","M",0,57307.1,41,"CC","Vol"
"F","S",0,73918.3,65,"CC","Vol"
"F","M",2,58629.5,52,"CC","Current"
"M","M",2,13573.9,20,"Auto","Current"
"F","M",1,22039,32,"CH","Current"
"F","S",0,11890.1,61,"CC","Vol"
"M","M",0,8875.47,20,"CH","Vol"
"F","S",0,94582.3,74,"CC","Vol"
"F","M",0,77680,35,"CC","Current"
"F","S",0,61453.1,71,"CC","Vol"
"M","S",1,45476,87,"CC","Current"
"F","S",0,65670,82,"Auto","Current"
"M","M",2,32573.8,33,"CC","Current"
"F","S",0,63092.2,89,"Auto","Vol"
"M","M",0,4755.27,54,"CH","Current"
"F","M",2,22925.1,69,"CC","Vol"
"M","S",0,90513.2,83,"Auto","Current"
"M","M",0,50290.7,91,"CC","Current"
"F","S",2,39782,19,"CC","Vol"
"M","M",0,84269,78,"Auto","Current"
"M","M",1,83495,94,"CC","Current"
"F","S",1,28796.4,83,"Auto","Current"
"F","M",2,76791.5,32,"CC","Current"
"F","S",1,56562.9,66,"CC","Vol"
"F","S",0,74342.9,42,"CH","Vol"
"F","M",2,90672.6,27,"CH","Current"
"F","M",1,2279.44,80,"CC","Current"
"M","M",1,47927.1,74,"CC","Current"
"F","M",1,15862.7,94,"Auto","Vol"
"M","M",2,15269.1,35,"Auto","Current"
"F","S",0,32480.3,93,"Auto","Current"
"M","M",2,18893.4,30,"CC","Current"
"M","M",2,24329.4,40,"CC","Current"
"F","M",1,91390.6,22,"Auto","Current"
"F","M",1,90912.8,72,"CH","Vol"
"M","M",1,71000.5,83,"Auto","Current"
"F","S",1,51269.9,94,"CH","Vol"
"M","M",2,58963.7,21,"CC","Current"
"M","M",1,58167.3,95,"CC","Current"
"M","M",1,53582.6,82,"CC","Current"
"F","S",0,43734.1,55,"CC","Current"
"F","M",1,32806.3,43,"Auto","Vol"
"M","M",0,31852.4,77,"Auto","Current"
"F","M",1,71668.2,81,"CC","Vol"
"M","S",2,8854.31,53,"CC","Vol"
"F","S",1,46056.8,88,"CC","Current"
"M","M",2,65129,22,"CH","Current"
"M","S",2,16938.5,55,"CH","Current"
"F","M",0,30174.2,30,"Auto","Current"
"F","M",0,82001.8,91,"Auto","Current"
"F","M",0,26619.8,19,"CC","Vol"
"M","S",0,94179.1,29,"CC","Current"
"F","M",1,82190.5,33,"CC","Current"
"M","M",1,57974.8,62,"CC","Current"
"M","S",2,50290.7,82,"CC","Current"
"F","S",0,70492.4,87,"CC","Vol"
"M","M",1,8073.11,71,"Auto","Current"
"M","M",0,8118.75,96,"Auto","Vol"
"M","M",2,95448.6,80,"CH","Current"
"M","S",1,24141.5,25,"CC","Current"
"F","M",0,27469.5,21,"CC","Vol"
"F","M",1,62503.9,66,"Auto","Vol"
"F","M",1,75738.8,48,"CH","Vol"
"M","M",0,29854.3,92,"CC","Current"
"M","M",0,4684.74,69,"CC","Vol"
"M","S",0,42760.5,52,"CC","Current"
"M","S",1,49072,60,"Auto","Current"
"M","M",0,64882,71,"CC","Current"
"M","M",2,76486.8,79,"CC","Current"
"M","M",0,92093,92,"CH","Current"
"F","M",0,68987.5,19,"Auto","Current"
"F","M",1,68200,26,"CC","Current"
"F","M",1,28197.3,70,"CC","Vol"
"F","M",0,67720.2,55,"CC","Vol"
"F","S",1,78796,72,"Auto","Vol"
"M","M",0,95405.7,69,"CC","Current"
"M","S",1,53883.9,33,"Auto","Current"
"M","M",1,7426.81,78,"CC","Current"
"M","M",2,28255,52,"CC","Current"
"M","S",2,55485.8,36,"CH","Current"
"F","S",1,53989.3,43,"CC","Vol"
"M","M",1,19173.6,33,"CC","Current"
"F","M",1,79734.6,64,"CC","Vol"
"F","M",2,69865.2,49,"CC","Vol"
"M","M",2,90478.6,81,"Auto","Current"
"F","M",1,50860.7,81,"CH","Vol"
"F","S",2,96863.6,56,"Auto","Vol"
"F","M",2,29368.6,33,"CC","Current"
"M","M",2,50290.7,62,"CH","Current"
"F","M",1,15041.2,24,"CH","Vol"
"F","S",2,13669.8,33,"CH","Current"
"F","S",1,26756.6,40,"CC","Vol"
"M","S",0,79690.8,94,"CH","Current"
"M","M",2,12389.3,22,"Auto","Current"
"M","M",1,21747.7,77,"CH","Current"
"M","M",0,42370.2,53,"CC","Current"
"M","M",2,47333.3,97,"CC","Current"
"M","S",0,89788,85,"CC","Current"
"F","S",2,4089.59,53,"Auto","Vol"
"F","M",1,87797.5,76,"CC","Vol"
"M","S",0,54670.4,78,"CH","Current"
"F","S",1,82335.5,37,"CC","Current"
"F","M",1,78855.5,21,"Auto","Current"
"M","M",2,7122.16,48,"CH","Current"
"F","M",1,26609.9,80,"Auto","Vol"
"M","M",0,57596.1,21,"CC","Current"
"F","S",2,43654.4,66,"CH","Current"
"M","M",0,55501.6,56,"CH","Current"
"M","S",1,15822.6,64,"CC","Current"
"M","M",2,23536,76,"CC","Current"
"F","S",0,95261.8,37,"CC","Vol"
"F","S",0,40200.7,55,"CC","Vol"
"M","M",0,77717.1,40,"CC","Current"
"M","M",2,14794.3,34,"CC","Current"
"F","M",0,887.5,59,"CC","Vol"
"F","M",0,2759.49,79,"Auto","Vol"
"M","M",2,89449,68,"Auto","Current"
"M","M",2,42818.5,47,"Auto","Current"
"M","S",2,54953.1,44,"CC","Current"
"F","M",0,16814.1,75,"CC","Current"
"F","S",2,1144.36,33,"Auto","Current"
"F","M",2,72092.3,82,"CC","Vol"
"M","M",1,68290.8,83,"Auto","Current"
"F","S",2,24703.8,60,"CH","Vol"
"M","S",0,44909.2,35,"CC","Current"
"M","M",1,58310.2,85,"Auto","Current"
"F","M",1,96090.2,88,"CH","Current"
"F","S",0,67668.3,27,"CH","Current"
"M","S",0,6165.64,31,"CH","Current"
"M","S",2,23511.4,47,"CC","Current"
"F","M",1,46736,39,"CC","Current"
"F","M",2,127.237,62,"CC","Current"
"F","M",1,57517.9,91,"CC","Current"
"F","M",0,70459.5,57,"CC","Vol"
"F","M",0,85180.1,86,"CC","Vol"
"F","M",0,67812.8,71,"CC","Vol"
"M","M",0,45871.4,97,"CC","Current"
"M","M",2,90414.9,49,"Auto","Current"
"M","M",0,31650,77,"CC","Current"
"M","M",0,25921.4,24,"CC","Vol"
"F","M",2,11458.4,50,"CC","Current"
"M","S",0,67823.5,40,"CH","Current"
"F","S",1,52307,74,"CC","Vol"
"F","S",2,18172.8,88,"CH","Vol"
"M","S",0,77920.8,61,"CC","Current"
"M","M",2,52989.2,38,"Auto","Vol"
"F","M",0,42491.4,83,"CC","Current"
"M","M",1,10286.4,64,"CH","Vol"
"F","M",2,82258.2,32,"CC","Current"
"F","M",0,11253,58,"CC","Vol"
"M","S",2,10219,62,"Auto","Current"
"M","M",1,43448,28,"CH","Current"
"F","M",2,85022.1,83,"CC","Vol"
"M","M",2,33149.2,22,"CC","Current"
"F","S",2,34567,37,"CC","Current"
"F","S",1,53357.4,58,"CC","Current"
"F","M",2,9665.54,55,"CC","Vol"
"M","M",0,39383.4,97,"CH","Current"
"M","S",0,32872.1,37,"CC","Current"
"M","S",1,50290.7,23,"CC","Vol"
"M","S",2,52127.5,69,"Auto","Current"
"F","S",2,18151.6,65,"CC","Vol"
"M","S",0,21893.6,59,"Auto","Vol"
"M","S",2,78731,52,"CH","Current"
"M","M",2,23764.3,95,"CH","Current"
"M","S",2,23715,62,"CC","Current"
"M","S",1,55634.8,46,"CC","Current"
"F","M",1,12935.2,87,"CC","Vol"
"F","M",1,47211.6,32,"Auto","Vol"
"F","M",1,97841.7,49,"CC","Vol"
"F","S",2,94665.2,88,"CC","Vol"
"F","M",2,33790.9,51,"Auto","Vol"
"F","M",1,82743,30,"CC","Current"
"F","M",0,10384.5,59,"CH","Vol"
"M","M",2,60463.4,48,"CH","Current"
"M","S",2,57976.7,43,"CH","Current"
"M","M",1,65745.1,95,"CC","Current"
"M","M",1,38230.4,29,"Auto","Current"
"M","M",1,48713.6,96,"Auto","Current"
"F","S",1,95986,34,"CH","Current"
"F","M",2,37742,94,"CC","Current"
"F","M",1,349.091,76,"CC","Vol"
"F","M",2,99488.1,60,"CH","Current"
"M","M",2,17555.2,30,"CC","Current"
"M","S",2,58580.6,83,"CC","Current"
"M","M",2,53619.2,61,"CC","Current"
"M","S",1,16712.9,27,"CC","Vol"
"F","M",0,32657.7,34,"CC","Current"
"M","M",0,29227.8,39,"Auto","Current"
"M","S",0,37882.5,87,"CC","Current"
"F","S",2,69984.1,91,"CH","Vol"
"M","S",2,11861.4,44,"CH","Current"
"F","S",0,44183.9,44,"CC","Vol"
"M","S",0,34129.2,26,"CH","Vol"
"M","S",0,20730.7,49,"CC","Current"
"M","M",1,7330.68,56,"CC","Current"
"M","M",1,50290.7,96,"CH","Current"
"M","S",0,81875.8,77,"Auto","Current"
"F","S",0,52963.3,52,"CC","Vol"
"M","M",2,92731.3,78,"Auto","Current"
"M","M",0,4324.22,42,"CC","Vol"
"M","S",0,90335.6,63,"CC","Vol"
"M","M",1,10385.3,28,"Auto","Vol"
"F","M",1,60034.9,90,"CC","Current"
"F","M",1,37521.4,70,"CC","Current"
"M","S",0,3409.01,68,"CC","Current"
"F","S",1,16463,40,"CC","Vol"
"M","S",1,28464,31,"CC","Current"
"F","S",1,7320.73,25,"CC","Vol"
"M","M",0,96563.5,28,"CC","Current"
"F","S",0,60774.6,54,"CC","Vol"
"M","M",1,36638.2,44,"Auto","Vol"
"F","S",2,51662.2,39,"Auto","Current"
"M","M",0,67108.3,69,"CC","Vol"
"M","M",2,21288.3,29,"CC","Vol"
"M","S",0,59699.8,78,"CC","Current"
"F","S",0,20409,87,"Auto","Vol"
"M","M",0,85079.5,27,"CH","Current"
"M","M",2,31282.8,63,"CC","Current"
"F","M",0,57372.4,26,"Auto","Current"
"F","S",2,27492.2,89,"CC","Vol"
"M","M",0,19654.9,73,"CH","Current"
"F","M",2,23684.1,84,"CC","Current"
"M","M",2,7010.68,73,"CH","Current"
"F","M",0,87840.6,84,"CH","Vol"
"M","M",2,23695.6,45,"CC","Current"
"F","M",1,33065,24,"CC","Vol"
"M","M",2,24176.8,32,"CC","Current"
"M","M",0,10689.4,46,"Auto","Current"
"M","S",2,19546.6,18,"CC","Current"
"M","M",1,82783.8,65,"CH","Current"
"M","S",1,29894.4,49,"CC","Current"
"M","S",2,39753.3,63,"CC","Current"
"F","S",1,11659.5,54,"CH","Vol"
"M","S",2,56861.8,25,"CH","Current"
"F","S",0,87788.7,70,"CC","Vol"
"F","M",0,50290.7,97,"CH","Vol"
"F","M",1,77265.5,82,"CC","Vol"
"F","S",2,67773.9,69,"CH","Current"
"M","S",1,87491,20,"CC","Current"
"M","M",0,94002.6,38,"CC","Current"
"F","M",0,64236.8,21,"CC","Vol"
"F","M",2,3628.78,20,"CC","Current"
"M","S",2,22685.3,94,"CH","Current"
"M","S",2,14785.7,26,"CC","Vol"
"F","M",1,23947.8,65,"CC","Vol"
"M","M",1,43644.7,64,"CC","Current"
